ticker,action,score,price,stop,target,trend,momentum,mean_reversion,relative_str,volume,snap_Close,snap_RSI,snap_%B,snap_ATR%,snap_RS_60d,snap_Ret_5d,snap_Ret_20d,snap_DD_252,snap_VolZ,rationale
TLI.BK,HOLD,47.3,108.06,102.91,117.07,100.0,17.9,-15.0,100.0,8.4,108.06,65.1,0.82,2.38,98.1,2.21,13.42,0.0,0.84,"No edge: indicators mixed or middle of the range. Drivers: mean_reversion=-15, volume=+8"
LH.BK,BUY-DIP,47.1,121.48,117.2,128.95,88.8,42.1,0.0,100.0,-51.1,121.48,53.24,0.65,1.76,84.84,0.08,1.9,-1.73,1.11,"Pullback in uptrend (price > 200-EMA), RSI 53, %B 0.65. Drivers: relative_str=+100, trend=+89"
TRUE.BK,BUY-DIP,46.9,313.76,298.56,340.36,60.0,70.0,-15.0,100.0,-6.3,313.76,60.31,0.8,2.42,97.32,1.65,14.93,-15.04,-0.63,"Pullback in uptrend (price > 200-EMA), RSI 60, %B 0.80. Drivers: relative_str=+100, momentum=+70"
BH.BK,HOLD,45.9,455.9,431.88,497.93,100.0,50.0,-30.0,100.0,-55.8,455.9,74.66,0.97,2.63,91.45,12.16,22.82,-11.38,1.58,"No edge: indicators mixed or middle of the range. Drivers: volume=-56, mean_reversion=-30"
SCB.BK,BUY-DIP,44.2,204.54,193.85,223.24,60.0,70.0,-30.0,100.0,-3.1,204.54,59.47,0.92,2.61,64.96,4.91,13.04,-11.98,-0.31,"Pullback in uptrend (price > 200-EMA), RSI 59, %B 0.92. Drivers: relative_str=+100, momentum=+70"
BEM.BK,BUY-DIP,44.1,265.07,254.33,283.88,89.4,-10.0,-5.0,100.0,58.1,265.07,59.24,0.56,2.03,188.36,1.22,2.19,-3.56,1.81,"Pullback in uptrend (price > 200-EMA), RSI 59, %B 0.56. Drivers: relative_str=+100, trend=+89"
BGRIM.BK,HOLD,42.5,554.88,529.33,599.59,100.0,15.0,-30.0,100.0,-2.9,554.88,81.04,0.98,2.3,126.61,7.02,33.45,0.0,-0.29,"No edge: indicators mixed or middle of the range. Drivers: mean_reversion=-30, volume=-3"
AOT.BK,BUY-DIP,42.3,21.5,20.75,22.81,78.3,20.6,-5.0,100.0,-3.0,21.5,57.1,0.58,1.74,92.04,2.76,-3.36,-3.66,-0.3,"Pullback in uptrend (price > 200-EMA), RSI 57, %B 0.58. Drivers: relative_str=+100, trend=+78"
SCC.BK,BUY-DIP,42.2,237.11,227.87,253.28,99.6,-10.0,-5.0,100.0,8.0,237.11,55.5,0.57,1.95,80.43,-3.16,7.32,-11.59,0.8,"Pullback in uptrend (price > 200-EMA), RSI 55, %B 0.57. Drivers: relative_str=+100, trend=+100"
KBANK.BK,BUY-DIP,41.9,508.52,475.45,566.38,99.2,-10.0,-5.0,100.0,6.3,508.52,54.82,0.59,3.25,104.71,-7.68,7.12,-7.68,0.63,"Pullback in uptrend (price > 200-EMA), RSI 55, %B 0.59. Drivers: relative_str=+100, trend=+99"
PTTEP.BK,BUY-DIP,41.5,981.47,917.6,1093.25,100.0,-10.0,-5.0,100.0,-0.1,981.47,55.79,0.56,3.25,198.42,-6.25,10.71,-6.47,-0.01,"Pullback in uptrend (price > 200-EMA), RSI 56, %B 0.56. Drivers: trend=+100, relative_str=+100"
TISCO.BK,HOLD,40.9,234.66,225.23,251.17,60.0,50.0,-15.0,100.0,-16.5,234.66,70.73,0.84,2.01,84.22,1.41,14.34,-7.04,-1.65,"No edge: indicators mixed or middle of the range. Drivers: volume=-16, mean_reversion=-15"
DELTA.BK,HOLD,39.8,49.14,47.31,52.33,93.2,10.6,-30.0,100.0,1.4,49.14,66.73,0.95,1.86,100.2,2.15,4.1,0.0,0.14,"No edge: indicators mixed or middle of the range. Drivers: mean_reversion=-30, volume=+1"
OR.BK,BUY-DIP,39.2,243.13,233.75,259.55,89.1,-10.0,-5.0,100.0,10.0,243.13,58.15,0.67,1.93,88.29,2.08,2.03,-1.99,1.0,"Pullback in uptrend (price > 200-EMA), RSI 58, %B 0.67. Drivers: relative_str=+100, trend=+89"
IVL.BK,BUY-DIP,37.1,209.32,200.54,224.68,87.3,-10.0,-5.0,100.0,-6.4,209.32,53.69,0.57,2.1,89.83,-0.33,1.17,-2.56,-0.64,"Pullback in uptrend (price > 200-EMA), RSI 54, %B 0.57. Drivers: relative_str=+100, trend=+87"
BJC.BK,HOLD,36.4,179.44,173.55,189.74,88.8,-30.0,-15.0,100.0,53.0,179.44,65.07,0.83,1.64,125.53,0.68,1.88,-0.25,1.3,"No edge: indicators mixed or middle of the range. Drivers: momentum=-30, mean_reversion=-15"
OSP.BK,HOLD,27.7,319.46,297.81,357.35,60.0,-10.0,-15.0,100.0,2.4,319.46,62.68,0.86,3.39,128.5,6.91,19.14,-17.28,0.24,"No edge: indicators mixed or middle of the range. Drivers: mean_reversion=-15, momentum=-10"
CRC.BK,HOLD,26.6,68.14,63.93,75.5,0.0,70.0,-30.0,100.0,0.8,68.14,62.94,1.0,3.09,84.22,12.92,16.68,-14.05,0.08,"No edge: indicators mixed or middle of the range. Drivers: mean_reversion=-30, trend=+0"
COM7.BK,HOLD,26.5,92.54,87.6,101.2,8.9,70.0,-40.0,100.0,-6.9,92.54,62.52,0.91,2.67,104.53,3.85,11.93,-45.74,-0.69,"No edge: indicators mixed or middle of the range. Drivers: mean_reversion=-40, volume=-7"
GPSC.BK,HOLD,23.2,172.56,161.84,191.33,42.7,-35.0,20.0,100.0,1.3,172.56,40.21,-0.11,3.11,121.89,-6.88,-8.67,-12.0,0.13,"No edge: indicators mixed or middle of the range. Drivers: momentum=-35, volume=+1"
CPN.BK,HOLD,21.4,145.33,134.93,163.54,49.5,-35.0,0.0,100.0,2.6,145.33,38.0,-0.01,3.58,86.75,-4.17,-5.23,-18.81,0.26,"No edge: indicators mixed or middle of the range. Drivers: momentum=-35, mean_reversion=+0"
SCGP.BK,HOLD,18.2,504.5,460.81,580.95,38.8,-35.0,0.0,100.0,3.3,504.5,39.1,-0.02,4.33,81.03,-7.72,-10.61,-22.0,0.33,"No edge: indicators mixed or middle of the range. Drivers: momentum=-35, mean_reversion=+0"
ADVANC.BK,HOLD,12.5,322.75,307.97,348.61,-57.9,70.0,-40.0,100.0,53.5,322.75,55.93,1.03,2.29,79.44,1.09,8.55,-23.76,1.35,"No edge: indicators mixed or middle of the range. Drivers: trend=-58, mean_reversion=-40"
EA.BK,HOLD,8.7,110.54,105.44,119.45,-61.3,70.0,-25.0,100.0,-4.5,110.54,60.79,0.77,2.3,73.05,5.58,6.85,-51.26,-0.45,"No edge: indicators mixed or middle of the range. Drivers: trend=-61, mean_reversion=-25"
TOP.BK,HOLD,8.1,176.42,166.62,193.56,-64.2,70.0,-25.0,100.0,-1.4,176.42,52.36,0.79,2.78,70.02,3.67,5.42,-16.26,-0.14,"No edge: indicators mixed or middle of the range. Drivers: trend=-64, mean_reversion=-25"
CBG.BK,HOLD,7.5,140.85,134.01,152.82,-11.4,-10.0,0.0,100.0,-15.8,140.85,47.65,0.24,2.43,70.13,-3.92,1.8,-27.74,-1.58,"No edge: indicators mixed or middle of the range. Drivers: volume=-16, trend=-11"
BDMS.BK,HOLD,7.1,325.12,306.3,358.05,-15.0,-60.0,60.0,100.0,-4.0,325.12,33.78,0.13,2.89,52.69,-4.82,-13.79,-19.78,-0.4,"No edge: indicators mixed or middle of the range. Drivers: momentum=-60, trend=-15"
EGCO.BK,HOLD,2.2,223.51,211.25,244.98,-84.5,70.0,-15.0,92.1,-7.7,223.51,50.94,0.69,2.74,23.03,3.94,7.77,-37.59,-0.77,"No edge: indicators mixed or middle of the range. Drivers: trend=-84, mean_reversion=-15"
BANPU.BK,HOLD,1.3,291.45,274.89,320.43,-94.1,70.0,-15.0,100.0,0.2,291.45,45.86,0.58,2.84,30.88,-3.12,2.97,-35.11,0.02,"No edge: indicators mixed or middle of the range. Drivers: trend=-94, mean_reversion=-15"
KTC.BK,HOLD,0.7,154.96,147.57,167.9,-76.2,70.0,-40.0,100.0,-9.5,154.96,57.04,1.14,2.39,54.82,5.45,-0.59,-18.64,-0.95,"No edge: indicators mixed or middle of the range. Drivers: trend=-76, mean_reversion=-40"
CPF.BK,HOLD,-1.7,233.32,223.28,250.88,-100.0,70.0,-15.0,100.0,-12.1,233.32,45.25,0.63,2.15,47.5,4.25,-4.79,-41.43,-1.21,"No edge: indicators mixed or middle of the range. Drivers: trend=-100, mean_reversion=-15"
TTB.BK,HOLD,-6.0,247.22,233.87,270.59,-100.0,37.6,0.0,100.0,-3.9,247.22,35.23,0.21,2.7,31.53,-5.69,-12.57,-37.34,-0.39,"No edge: indicators mixed or middle of the range. Drivers: trend=-100, volume=-4"
CENTEL.BK,TRIM,-11.8,26.64,25.36,28.88,-96.1,40.1,-15.0,100.0,-50.3,26.64,47.75,0.55,2.4,68.75,-0.61,1.95,-15.85,1.03,"Momentum cooling (RSI 48); take partial profit / size down. Drivers: trend=-96, volume=-50"
PTTGC.BK,TRIM,-12.4,311.53,299.95,331.79,-98.3,45.0,-15.0,100.0,-61.5,311.53,38.02,0.47,1.86,28.75,-0.76,0.83,-41.33,2.15,"Momentum cooling (RSI 38); take partial profit / size down. Drivers: trend=-98, volume=-61"
PTT.BK,TRIM,-14.3,92.47,87.23,101.64,-65.0,-35.0,20.0,100.0,-50.6,92.47,35.2,0.15,2.83,56.37,-4.38,-15.04,-19.8,1.06,"Momentum cooling (RSI 35); take partial profit / size down. Drivers: trend=-65, volume=-51"
KTB.BK,TRIM,-15.1,104.24,98.96,113.47,-92.0,-10.0,0.0,100.0,0.2,104.24,47.06,0.34,2.53,74.85,-1.89,4.02,-46.48,0.02,"Momentum cooling (RSI 47); take partial profit / size down. Drivers: trend=-92, momentum=-10"
AWC.BK,TRIM,-15.5,148.93,143.15,159.04,-100.0,-13.3,20.0,100.0,-11.3,148.93,35.55,0.17,1.94,39.54,0.28,-5.52,-28.98,-1.13,"Momentum cooling (RSI 36); take partial profit / size down. Drivers: trend=-100, momentum=-13"
KKP.BK,TRIM,-16.9,230.45,219.6,249.44,-98.7,-10.0,0.0,100.0,1.8,230.45,45.19,0.28,2.35,53.93,-5.81,0.65,-21.55,0.18,"Momentum cooling (RSI 45); take partial profit / size down. Drivers: trend=-99, momentum=-10"
SAWAD.BK,TRIM,-31.5,309.22,294.68,334.65,-100.0,-60.0,0.0,100.0,-14.7,309.22,32.53,0.24,2.35,63.73,-2.48,-14.54,-38.41,-1.47,"Momentum cooling (RSI 33); take partial profit / size down. Drivers: trend=-100, momentum=-60"
